ANO_1,ID_REGIAO,REGIAO,ID_MUNICIPIO,MUNICIPIO,ANO,MES,GR_NATUREZA,QT_VITIMAS
2023,3,Interior,293135,Teixeira de Freitas,2023,2,FEMINICIDIO,1
2024,3,Interior,293135,Teixeira de Freitas,2024,2,HOMICIDIO DOLOSO,2
2023,3,Interior,293135,Teixeira de Freitas,2023,2,HOMICIDIO DOLOSO,4
2023,3,Interior,293140,Teodoro Sampaio,2023,2,HOMICIDIO DOLOSO,1
2024,3,Interior,293150,Teofilandia,2024,2,HOMICIDIO DOLOSO,1
2023,3,Interior,293160,Teolandia,2023,2,HOMICIDIO DOLOSO,1
2023,3,Interior,293170,Terra Nova,2023,2,HOMICIDIO DOLOSO,1
2024,3,Interior,293190,Tucano,2024,2,HOMICIDIO DOLOSO,2
2023,3,Interior,293200,Uaua,2023,2,HOMICIDIO DOLOSO,1
2023,3,Interior,293210,Ubaira,2023,2,HOMICIDIO DOLOSO,1
2024,3,Interior,293250,Una,2024,2,HOMICIDIO DOLOSO,2
2023,3,Interior,293290,Valença,2023,2,HOMICIDIO DOLOSO,1
2024,3,Interior,293290,Valença,2024,2,HOMICIDIO DOLOSO,1
2023,3,Interior,293300,Valente,2023,2,HOMICIDIO DOLOSO,1
2023,3,Interior,293305,Varzea da Roça,2023,2,HOMICIDIO DOLOSO,3
2024,2,RMS,293320,Vera Cruz,2024,2,HOMICIDIO DOLOSO,1
2023,2,RMS,293320,Vera Cruz,2023,2,ROUBO COM RESULTADO MORTE - (LATROCINIO),1
2024,3,Interior,293330,Vitoria da Conquista,2024,2,HOMICIDIO DOLOSO,3
2024,3,Interior,293330,Vitoria da Conquista,2024,2,ROUBO COM RESULTADO MORTE - (LATROCINIO),1
2024,3,Interior,293330,Vitoria da Conquista,2024,2,LESAO CORPORAL SEGUIDA DE MORTE,1
2023,3,Interior,293330,Vitoria da Conquista,2023,2,HOMICIDIO DOLOSO,5
2023,3,Interior,293345,Wanderley,2023,2,HOMICIDIO DOLOSO,1
2024,3,Interior,293350,Wenceslau Guimaraes,2024,2,HOMICIDIO DOLOSO,2
2024,3,Interior,290020,Abare,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290070,Alagoinhas,2024,3,LESAO CORPORAL SEGUIDA DE MORTE,1
2023,3,Interior,290070,Alagoinhas,2023,3,HOMICIDIO DOLOSO,3
2024,3,Interior,290070,Alagoinhas,2024,3,HOMICIDIO DOLOSO,2
2023,3,Interior,290070,Alagoinhas,2023,3,FEMINICIDIO,1
2024,3,Interior,290080,Alcobaça,2024,3,ROUBO COM RESULTADO MORTE - (LATROCINIO),1
2023,3,Interior,290080,Alcobaça,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290080,Alcobaça,2024,3,HOMICIDIO DOLOSO,2
2023,3,Interior,290090,Almadina,2023,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290130,Andarai,2023,3,HOMICIDIO DOLOSO,2
2024,3,Interior,290140,Angical,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290170,Antonio Cardoso,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290190,Apora,2024,3,HOMICÍDIO DOLOSO COM INDÍCIO DE EXCLUDENTE DE ILICITUDE,1
2023,3,Interior,290195,Apuarema,2023,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290210,Araci,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290210,Araci,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290220,Aramari,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290225,Arataca,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290240,Aurelino Leal,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290270,Barra,2023,3,HOMICIDIO DOLOSO,2
2023,3,Interior,290280,Barra da Estiva,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290300,Barra do Mendes,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290320,Barreiras,2024,3,HOMICIDIO DOLOSO,5
2023,3,Interior,290320,Barreiras,2023,3,HOMICIDIO DOLOSO,3
2023,3,Interior,290320,Barreiras,2023,3,LESAO CORPORAL SEGUIDA DE MORTE,1
2024,3,Interior,290330,Barro Preto,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290330,Barro Preto,2023,3,HOMICIDIO DOLOSO,2
2024,3,Interior,290340,Belmonte,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290350,Belo Campo,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290360,Biritinga,2023,3,HOMICIDIO DOLOSO,1
2023,3,Interior,290380,Boa Vista do Tupim,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290380,Boa Vista do Tupim,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,290390,Bom Jesus da Lapa,2024,3,HOMICIDIO DOLOSO,2
2023,3,Interior,290390,Bom Jesus da Lapa,2023,3,HOMICIDIO DOLOSO,3
2024,3,Interior,290430,Brejoes,2024,3,HOMICIDIO DOLOSO,1
